Item Name	   Item Description		Method Of Obtaining		Effect(s)			Set Bonus						
Witch Hat	A pointy hat popular with witches.		Tailoring		10 immunity, 5% Witch Event Chance, Magic Quiver (Fall: 25 dodge change, 20 ranged power, 1.17 popularity, 6 magnetism)								1	
White Turban	A fine white silk turban with blue trim.		Tailoring Skull Cavern treasure chests (~3.8% chance).		(desert:50 energy, 2 speed, protective ring)								1	
White Bow	A bow as white as snow.		Help your forest neighbors grow their family.										0	
Wearable Dwarf Helm	A slightly larger, human sized version of the helmets worn by dwarves.		Tailoring		2 defense, 20% dwarf discount (underground: 20 health, 20 energy)			Diggy Diggy					1	
Watermelon Band	The color scheme was inspired by the beloved summer melon.		Catch 100 Fish.		(On farm: 5 fishing)								1	
Warrior Helmet	An Ostrich eggshell repurposed into a helmet.		Tailoring		1.25x attack Underground((Half health: 6 attack, 1 speed),(Low health: 12 attack, 2 speed), (Critical health: 20 attack, 2 speed)) ALL STACK								1	
Trucker Hat	Mesh in the back to keep your head cool.		Craft 30 different items.		Crafter								1	
Tropiclip	It's shaped like a little palm tree.		Upgrade your house.										0	
Tricorn Hat	It's a traditional hat for naval officers.		Purchase for  100 from Elliott's shop at the Desert Festival.		2 attack, 2 fishing, 2 combat, 1.10x combat xp, 1.10x fishing xp			Siren					1	
Totem Mask	Don't worry, it won't warp your face...		Tailoring		1 defense, 1 speed, 2 foraging								1	
Top Hat	A gentleman's classic.		Purchase for 8,000 in Qi's Casino.		1.17 popularity, sturdy ring, 2x weapon knockback								1	
Tiger Hat	Makes you look like a beautiful tiger.		0.1% chance of dropping from Tiger Slimes.		1 foraging, 3 attack, slimed, 7 speed (island: 1 speed, 1.5x attack)			Wild					1	
Tiara	This one has a big amethyst encircled by gold.		Reach a 5-heart friend level with 4 people.		1.17 Popularity, (storm:1.17 popularity) STACKS								1	
Swashbuckler Hat	The classic swashbuckler look.		Tailoring		8 attack, (island underground: 2 speed)								1	
Sunglasses	These give you a relaxed look.		Tailoring		(8am - 3pm: 2 speed) (4pm-2am:-1 speed)								1	
Straw Hat	Light and cool, it's a farmer's delight.		Win the egg hunt at the Egg Festival.		Autowater, (FarmPlaces between 6 and 8am: 1 speed)								1	
Steel Pan (hat)	You place the steel pan on your head...		Place the Steel Pan in the hat slot next to the farmer sprite in the inventory menu.		1 speed								1	
Star Helmet	A red hat with stars on it.		Tailoring		(When holding Return Scepter: 30 defense, -3 speed, 3 white glow)			Eclipse					1	
Squire's Helmet	The face is exposed to increase air flow.		Monster drop from Metal Heads.		3 defense								1	
Squid Hat	It's your chance to wear a squid on the head.		Obtained as a reward from the SquidFest.		FishingBarBoost, lewisDissaproves (ocean: 2 fishing, 1.2x fishing xp)								1	
Spotted Headscarf	A red polka-dot scarf tied around the head.		Tailoring										0	
Sports Cap	The cap has a vintage team logo on it.		Can be obtained from the Prize Machine.		1 speed, 1 stamina regen								1	
Space Helmet	Warning: This helmet has not actually been tested in outer space.		Reach the bottom of the 'dangerous' mines.		(Dangerous Mines: 5 mining, 5 defense) BeeKeeper								1	
Sou'wester	The shape helps to keep sailors dry during storms.		Catch 10 different fish.										0	
Sombrero	A festively decorated hat made from woven straw.		Earn 10,000,000g.		Debuff Immunity								1	
